"Marca","Modelo","mpg","cylinders","displacement","horsepower","weight","acceleration","Year","Idade Veiculo","origin"
"amc","matador","18.0",6,232,"100",3288,15.5,1971,53,"usa"
"chevrolet","impala","14.0",8,350,"165",4209,12,1971,53,"usa"
"pontiac","catalina brougham","14.0",8,400,"175",4464,11.5,1971,53,"usa"
"ford","galaxie 500","14.0",8,351,"153",4154,13.5,1971,53,"usa"
"plymouth","fury iii","14.0",8,318,"150",4096,13,1971,53,"usa"
"dodge","monaco (sw)","12.0",8,383,"180",4955,11.5,1971,53,"usa"
"ford","country squire (sw)","13.0",8,400,"170",4746,12,1971,53,"usa"
"pontiac","safari (sw)","13.0",8,400,"175",5140,12,1971,53,"usa"
"amc","hornet sportabout (sw)","18.0",6,258,"110",2962,13.5,1971,53,"usa"
"chevrolet","vega (sw)","22.0",4,140,"72",2408,19,1971,53,"usa"
"pontiac","firebird","19.0",6,250,"100",3282,15,1971,53,"usa"
"ford","mustang","18.0",6,250,"88",3139,14.5,1971,53,"usa"
"mercury","capri 2000","23.0",4,122,"86",2220,14,1971,53,"usa"
"opel","1900","28.0",4,116,"90",2123,14,1971,53,"europe"
"peugeot","304","30.0",4,79,"70",2074,19.5,1971,53,"europe"
"fiat","124b","30.0",4,88,"76",2065,14.5,1971,53,"europe"
"toyota","corolla 1200","31.0",4,71,"65",1773,19,1971,53,"japan"
"datsun","1200","35.0",4,72,"69",1613,18,1971,53,"japan"
"volkswagen","model 111","27.0",4,97,"60",1834,19,1971,53,"europe"
"plymouth","cricket","26.0",4,91,"70",1955,20.5,1971,53,"usa"
"toyota","corona hardtop","24.0",4,113,"95",2278,15.5,1972,52,"japan"
"dodge","colt hardtop","25.0",4,97.5,"80",2126,17,1972,52,"usa"
"volkswagen","type 3","23.0",4,97,"54",2254,23.5,1972,52,"europe"
"chevrolet","vega","20.0",4,140,"90",2408,19.5,1972,52,"usa"
"ford","pinto runabout","21.0",4,122,"86",2226,16.5,1972,52,"usa"
"chevrolet","impala","13.0",8,350,"165",4274,12,1972,52,"usa"
"pontiac","catalina","14.0",8,400,"175",4385,12,1972,52,"usa"
"plymouth","fury iii","15.0",8,318,"150",4135,13.5,1972,52,"usa"
"ford","galaxie 500","14.0",8,351,"153",4129,13,1972,52,"usa"
"amc","ambassador sst","17.0",8,304,"150",3672,11.5,1972,52,"usa"
"mercury","marquis","11.0",8,429,"208",4633,11,1972,52,"usa"
"buick","lesabre custom","13.0",8,350,"155",4502,13.5,1972,52,"usa"
"oldsmobile","delta 88 royale","12.0",8,350,"160",4456,13.5,1972,52,"usa"
"chrysler","newport royal","13.0",8,400,"190",4422,12.5,1972,52,"usa"
"mazda","rx2 coupe","19.0",3,70,"97",2330,13.5,1972,52,"japan"
"amc","matador (sw)","15.0",8,304,"150",3892,12.5,1972,52,"usa"
"chevrolet","chevelle concours (sw)","13.0",8,307,"130",4098,14,1972,52,"usa"
"ford","gran torino (sw)","13.0",8,302,"140",4294,16,1972,52,"usa"
"plymouth","satellite custom (sw)","14.0",8,318,"150",4077,14,1972,52,"usa"
"volvo","145e (sw)","18.0",4,121,"112",2933,14.5,1972,52,"europe"
"volkswagen","411 (sw)","22.0",4,121,"76",2511,18,1972,52,"europe"
"peugeot","504 (sw)","21.0",4,120,"87",2979,19.5,1972,52,"europe"
"renault","12 (sw)","26.0",4,96,"69",2189,18,1972,52,"europe"
"ford","pinto (sw)","22.0",4,122,"86",2395,16,1972,52,"usa"
"datsun","510 (sw)","28.0",4,97,"92",2288,17,1972,52,"japan"
"toyouta","corona mark ii (sw)","23.0",4,120,"97",2506,14.5,1972,52,"japan"
"dodge","colt (sw)","28.0",4,98,"80",2164,15,1972,52,"usa"
"toyota","corolla 1600 (sw)","27.0",4,97,"88",2100,16.5,1972,52,"japan"
"buick","century 350","13.0",8,350,"175",4100,13,1973,51,"usa"
"amc","matador","14.0",8,304,"150",3672,11.5,1973,51,"usa"
"chevrolet","malibu","13.0",8,350,"145",3988,13,1973,51,"usa"
"ford","gran torino","14.0",8,302,"137",4042,14.5,1973,51,"usa"
"dodge","coronet custom","15.0",8,318,"150",3777,12.5,1973,51,"usa"
"mercury","marquis brougham","12.0",8,429,"198",4952,11.5,1973,51,"usa"
"chevrolet","caprice classic","13.0",8,400,"150",4464,12,1973,51,"usa"
"ford","ltd","13.0",8,351,"158",4363,13,1973,51,"usa"
"plymouth","fury gran sedan","14.0",8,318,"150",4237,14.5,1973,51,"usa"
"chrysler","new yorker brougham","13.0",8,440,"215",4735,11,1973,51,"usa"
"buick","electra 225 custom","12.0",8,455,"225",4951,11,1973,51,"usa"
"amc","ambassador brougham","13.0",8,360,"175",3821,11,1973,51,"usa"
"plymouth","valiant","18.0",6,225,"105",3121,16.5,1973,51,"usa"
"chevrolet","nova custom","16.0",6,250,"100",3278,18,1973,51,"usa"
"amc","hornet","18.0",6,232,"100",2945,16,1973,51,"usa"
"ford","maverick","18.0",6,250,"88",3021,16.5,1973,51,"usa"
"plymouth","duster","23.0",6,198,"95",2904,16,1973,51,"usa"
"volkswagen","super beetle","26.0",4,97,"46",1950,21,1973,51,"europe"
"chevrolet","impala","11.0",8,400,"150",4997,14,1973,51,"usa"
"ford","country","12.0",8,400,"167",4906,12.5,1973,51,"usa"
"plymouth","custom suburb","13.0",8,360,"170",4654,13,1973,51,"usa"
"oldsmobile","vista cruiser","12.0",8,350,"180",4499,12.5,1973,51,"usa"
"amc","gremlin","18.0",6,232,"100",2789,15,1973,51,"usa"
"toyota","carina","20.0",4,97,"88",2279,19,1973,51,"japan"
"chevrolet","vega","21.0",4,140,"72",2401,19.5,1973,51,"usa"
"datsun","610","22.0",4,108,"94",2379,16.5,1973,51,"japan"
"maxda","rx3","18.0",3,70,"90",2124,13.5,1973,51,"japan"
"ford","pinto","19.0",4,122,"85",2310,18.5,1973,51,"usa"
"mercury","capri v6","21.0",6,155,"107",2472,14,1973,51,"usa"
"fiat","124 sport coupe","26.0",4,98,"90",2265,15.5,1973,51,"europe"
"chevrolet","monte carlo s","15.0",8,350,"145",4082,13,1973,51,"usa"
"pontiac","grand prix","16.0",8,400,"230",4278,9.5,1973,51,"usa"
"fiat","128","29.0",4,68,"49",1867,19.5,1973,51,"europe"
"opel","manta","24.0",4,116,"75",2158,15.5,1973,51,"europe"
"audi","100ls","20.0",4,114,"91",2582,14,1973,51,"europe"
"volvo","144ea","19.0",4,121,"112",2868,15.5,1973,51,"europe"
"dodge","dart custom","15.0",8,318,"150",3399,11,1973,51,"usa"
"saab","99le","24.0",4,121,"110",2660,14,1973,51,"europe"
"toyota","mark ii","20.0",6,156,"122",2807,13.5,1973,51,"japan"
"oldsmobile","omega","11.0",8,350,"180",3664,11,1973,51,"usa"
"plymouth","duster","20.0",6,198,"95",3102,16.5,1974,50,"usa"
"ford","maverick","21.0",6,200,"ND",2875,17,1974,50,"usa"
"amc","hornet","19.0",6,232,"100",2901,16,1974,50,"usa"
"chevrolet","nova","15.0",6,250,"100",3336,17,1974,50,"usa"
"datsun","b210","31.0",4,79,"67",1950,19,1974,50,"japan"
"ford","pinto","26.0",4,122,"80",2451,16.5,1974,50,"usa"
"toyota","corolla 1200","32.0",4,71,"65",1836,21,1974,50,"japan"
"chevrolet","vega","25.0",4,140,"75",2542,17,1974,50,"usa"
"chevrolet","chevelle malibu classic","16.0",6,250,"100",3781,17,1974,50,"usa"
"amc","matador","16.0",6,258,"110",3632,18,1974,50,"usa"
"plymouth","satellite sebring","18.0",6,225,"105",3613,16.5,1974,50,"usa"
"ford","gran torino","16.0",8,302,"140",4141,14,1974,50,"usa"
"buick","century luxus (sw)","13.0",8,350,"150",4699,14.5,1974,50,"usa"
"dodge","coronet custom (sw)","14.0",8,318,"150",4457,13.5,1974,50,"usa"
"ford","gran torino (sw)","14.0",8,302,"140",4638,16,1974,50,"usa"
"amc","matador (sw)","14.0",8,304,"150",4257,15.5,1974,50,"usa"
"audi","fox","29.0",4,98,"83",2219,16.5,1974,50,"europe"
"volkswagen","dasher","26.0",4,79,"67",1963,15.5,1974,50,"europe"
"opel","manta","26.0",4,97,"78",2300,14.5,1974,50,"europe"
"toyota","corona","31.0",4,76,"52",1649,16.5,1974,50,"japan"
"datsun","710","32.0",4,83,"61",2003,19,1974,50,"japan"
"dodge","colt","28.0",4,90,"75",2125,14.5,1974,50,"usa"
"fiat","128","24.0",4,90,"75",2108,15.5,1974,50,"europe"
"fiat","124 tc","26.0",4,116,"75",2246,14,1974,50,"europe"
"honda","civic","24.0",4,120,"97",2489,15,1974,50,"japan"
"","subaru","26.0",4,108,"93",2391,15.5,1974,50,"japan"
"fiat","x1.9","31.0",4,79,"67",2000,16,1974,50,"europe"
"plymouth","valiant custom","19.0",6,225,"95",3264,16,1975,49,"usa"
"chevrolet","nova","18.0",6,250,"105",3459,16,1975,49,"usa"
"mercury","monarch","15.0",6,250,"72",3432,21,1975,49,"usa"
"ford","maverick","15.0",6,250,"72",3158,19.5,1975,49,"usa"
"pontiac","catalina","16.0",8,400,"170",4668,11.5,1975,49,"usa"
"chevrolet","bel air","15.0",8,350,"145",4440,14,1975,49,"usa"
"plymouth","grand fury","16.0",8,318,"150",4498,14.5,1975,49,"usa"
"ford","ltd","14.0",8,351,"148",4657,13.5,1975,49,"usa"
"buick","century","17.0",6,231,"110",3907,21,1975,49,"usa"
"chevroelt","chevelle malibu","16.0",6,250,"105",3897,18.5,1975,49,"usa"
"amc","matador","15.0",6,258,"110",3730,19,1975,49,"usa"
"plymouth","fury","18.0",6,225,"95",3785,19,1975,49,"usa"
"buick","skyhawk","21.0",6,231,"110",3039,15,1975,49,"usa"
"chevrolet","monza 2+2","20.0",8,262,"110",3221,13.5,1975,49,"usa"
"ford","mustang ii","13.0",8,302,"129",3169,12,1975,49,"usa"
"toyota","corolla","29.0",4,97,"75",2171,16,1975,49,"japan"
"ford","pinto","23.0",4,140,"83",2639,17,1975,49,"usa"
"amc","gremlin","20.0",6,232,"100",2914,16,1975,49,"usa"
"pontiac","astro","23.0",4,140,"78",2592,18.5,1975,49,"usa"
"toyota","corona","24.0",4,134,"96",2702,13.5,1975,49,"japan"
"volkswagen","dasher","25.0",4,90,"71",2223,16.5,1975,49,"europe"
"datsun","710","24.0",4,119,"97",2545,17,1975,49,"japan"
"ford","pinto","18.0",6,171,"97",2984,14.5,1975,49,"usa"
"volkswagen","rabbit","29.0",4,90,"70",1937,14,1975,49,"europe"
"amc","pacer","19.0",6,232,"90",3211,17,1975,49,"usa"
"audi","100ls","23.0",4,115,"95",2694,15,1975,49,"europe"
"peugeot","504","23.0",4,120,"88",2957,17,1975,49,"europe"
"volvo","244dl","22.0",4,121,"98",2945,14.5,1975,49,"europe"
"saab","99le","25.0",4,121,"115",2671,13.5,1975,49,"europe"
"honda","civic cvcc","33.0",4,91,"53",1795,17.5,1975,49,"japan"
"fiat","131","28.0",4,107,"86",2464,15.5,1976,48,"europe"
"opel","1900","25.0",4,116,"81",2220,16.9,1976,48,"europe"
"capri","ii","25.0",4,140,"92",2572,14.9,1976,48,"usa"
"dodge","colt","26.0",4,98,"79",2255,17.7,1976,48,"usa"
"renault","12tl","27.0",4,101,"83",2202,15.3,1976,48,"europe"
"chevrolet","chevelle malibu classic","17.5",8,305,"140",4215,13,1976,48,"usa"
"dodge","coronet brougham","16.0",8,318,"150",4190,13,1976,48,"usa"
"amc","matador","15.5",8,304,"120",3962,13.9,1976,48,"usa"
"ford","gran torino","14.5",8,351,"152",4215,12.8,1976,48,"usa"
"plymouth","valiant","22.0",6,225,"100",3233,15.4,1976,48,"usa"
"chevrolet","nova","22.0",6,250,"105",3353,14.5,1976,48,"usa"
"ford","maverick","24.0",6,200,"81",3012,17.6,1976,48,"usa"
"amc","hornet","22.5",6,232,"90",3085,17.6,1976,48,"usa"
"chevrolet","chevette","29.0",4,85,"52",2035,22.2,1976,48,"usa"
"chevrolet","woody","24.5",4,98,"60",2164,22.1,1976,48,"usa"
"vw","rabbit","29.0",4,90,"70",1937,14.2,1976,48,"europe"
"honda","civic","33.0",4,91,"53",1795,17.4,1976,48,"japan"
"dodge","aspen se","20.0",6,225,"100",3651,17.7,1976,48,"usa"
"ford","granada ghia","18.0",6,250,"78",3574,21,1976,48,"usa"
"pontiac","ventura sj","18.5",6,250,"110",3645,16.2,1976,48,"usa"
"amc","pacer d/l","17.5",6,258,"95",3193,17.8,1976,48,"usa"
"volkswagen","rabbit","29.5",4,97,"71",1825,12.2,1976,48,"europe"
"datsun","b-210","32.0",4,85,"70",1990,17,1976,48,"japan"
"toyota","corolla","28.0",4,97,"75",2155,16.4,1976,48,"japan"
"ford","pinto","26.5",4,140,"72",2565,13.6,1976,48,"usa"
"volvo","245","20.0",4,130,"102",3150,15.7,1976,48,"europe"
"plymouth","volare premier v8","13.0",8,318,"150",3940,13.2,1976,48,"usa"
"peugeot","504","19.0",4,120,"88",3270,21.9,1976,48,"europe"
"toyota","mark ii","19.0",6,156,"108",2930,15.5,1976,48,"japan"
"mercedes-benz","280s","16.5",6,168,"120",3820,16.7,1976,48,"europe"
"cadillac","seville","16.5",8,350,"180",4380,12.1,1976,48,"usa"
"chevy","c10","13.0",8,350,"145",4055,12,1976,48,"usa"
"ford","f108","13.0",8,302,"130",3870,15,1976,48,"usa"
"dodge","d100","13.0",8,318,"150",3755,14,1976,48,"usa"
"honda","accord cvcc","31.5",4,98,"68",2045,18.5,1977,47,"japan"
"buick","opel isuzu deluxe","30.0",4,111,"80",2155,14.8,1977,47,"usa"
"renault","5 gtl","36.0",4,79,"58",1825,18.6,1977,47,"europe"
"plymouth","arrow gs","25.5",4,122,"96",2300,15.5,1977,47,"usa"
"datsun","f-10 hatchback","33.5",4,85,"70",1945,16.8,1977,47,"japan"
"chevrolet","caprice classic","17.5",8,305,"145",3880,12.5,1977,47,"usa"
"oldsmobile","cutlass supreme","17.0",8,260,"110",4060,19,1977,47,"usa"
"dodge","monaco brougham","15.5",8,318,"145",4140,13.7,1977,47,"usa"
"mercury","cougar brougham","15.0",8,302,"130",4295,14.9,1977,47,"usa"
"chevrolet","concours","17.5",6,250,"110",3520,16.4,1977,47,"usa"
"buick","skylark","20.5",6,231,"105",3425,16.9,1977,47,"usa"
"plymouth","volare custom","19.0",6,225,"100",3630,17.7,1977,47,"usa"
"ford","granada","18.5",6,250,"98",3525,19,1977,47,"usa"
"pontiac","grand prix lj","16.0",8,400,"180",4220,11.1,1977,47,"usa"
"chevrolet","monte carlo landau","15.5",8,350,"170",4165,11.4,1977,47,"usa"
"chrysler","cordoba","15.5",8,400,"190",4325,12.2,1977,47,"usa"
"ford","thunderbird","16.0",8,351,"149",4335,14.5,1977,47,"usa"
"volkswagen","rabbit custom","29.0",4,97,"78",1940,14.5,1977,47,"europe"
"pontiac","sunbird coupe","24.5",4,151,"88",2740,16,1977,47,"usa"
"toyota","corolla liftback","26.0",4,97,"75",2265,18.2,1977,47,"japan"
"ford","mustang ii 2+2","25.5",4,140,"89",2755,15.8,1977,47,"usa"
"chevrolet","chevette","30.5",4,98,"63",2051,17,1977,47,"usa"
"dodge","colt m/m","33.5",4,98,"83",2075,15.9,1977,47,"usa"
"subaru","dl","30.0",4,97,"67",1985,16.4,1977,47,"japan"
"volkswagen","dasher","30.5",4,97,"78",2190,14.1,1977,47,"europe"
"datsun","810","22.0",6,146,"97",2815,14.5,1977,47,"japan"
"bmw","320i","21.5",4,121,"110",2600,12.8,1977,47,"europe"
"mazda","rx-4","21.5",3,80,"110",2720,13.5,1977,47,"japan"
"volkswagen","rabbit custom diesel","43.1",4,90,"48",1985,21.5,1978,46,"europe"
"ford","fiesta","36.1",4,98,"66",1800,14.4,1978,46,"usa"
"mazda","glc deluxe","32.8",4,78,"52",1985,19.4,1978,46,"japan"
"datsun","b210 gx","39.4",4,85,"70",2070,18.6,1978,46,"japan"
"honda","civic cvcc","36.1",4,91,"60",1800,16.4,1978,46,"japan"
"oldsmobile","cutlass salon brougham","19.9",8,260,"110",3365,15.5,1978,46,"usa"
"dodge","diplomat","19.4",8,318,"140",3735,13.2,1978,46,"usa"
"mercury","monarch ghia","20.2",8,302,"139",3570,12.8,1978,46,"usa"
"pontiac","phoenix lj","19.2",6,231,"105",3535,19.2,1978,46,"usa"
"chevrolet","malibu","20.5",6,200,"95",3155,18.2,1978,46,"usa"
"ford","fairmont (auto)","20.2",6,200,"85",2965,15.8,1978,46,"usa"
"ford","fairmont (man)","25.1",4,140,"88",2720,15.4,1978,46,"usa"
"plymouth","volare","20.5",6,225,"100",3430,17.2,1978,46,"usa"
"amc","concord","19.4",6,232,"90",3210,17.2,1978,46,"usa"
"buick","century special","20.6",6,231,"105",3380,15.8,1978,46,"usa"
"mercury","zephyr","20.8",6,200,"85",3070,16.7,1978,46,"usa"
"dodge","aspen","18.6",6,225,"110",3620,18.7,1978,46,"usa"
"amc","concord d/l","18.1",6,258,"120",3410,15.1,1978,46,"usa"
"chevrolet","monte carlo landau","19.2",8,305,"145",3425,13.2,1978,46,"usa"
"buick","regal sport coupe (turbo)","17.7",6,231,"165",3445,13.4,1978,46,"usa"
"ford","futura","18.1",8,302,"139",3205,11.2,1978,46,"usa"
"dodge","magnum xe","17.5",8,318,"140",4080,13.7,1978,46,"usa"
"chevrolet","chevette","30.0",4,98,"68",2155,16.5,1978,46,"usa"
"toyota","corona","27.5",4,134,"95",2560,14.2,1978,46,"japan"
"datsun","510","27.2",4,119,"97",2300,14.7,1978,46,"japan"
"dodge","omni","30.9",4,105,"75",2230,14.5,1978,46,"usa"
"toyota","celica gt liftback","21.1",4,134,"95",2515,14.8,1978,46,"japan"
"plymouth","sapporo","23.2",4,156,"105",2745,16.7,1978,46,"usa"
"oldsmobile","starfire sx","23.8",4,151,"85",2855,17.6,1978,46,"usa"
"datsun","200-sx","23.9",4,119,"97",2405,14.9,1978,46,"japan"
"audi","5000","20.3",5,131,"103",2830,15.9,1978,46,"europe"
"volvo","264gl","17.0",6,163,"125",3140,13.6,1978,46,"europe"
"saab","99gle","21.6",4,121,"115",2795,15.7,1978,46,"europe"
"peugeot","604sl","16.2",6,163,"133",3410,15.8,1978,46,"europe"
"volkswagen","scirocco","31.5",4,89,"71",1990,14.9,1978,46,"europe"
"honda","accord lx","29.5",4,98,"68",2135,16.6,1978,46,"japan"
"pontiac","lemans v6","21.5",6,231,"115",3245,15.4,1979,45,"usa"
"mercury","zephyr 6","19.8",6,200,"85",2990,18.2,1979,45,"usa"
"ford","fairmont 4","22.3",4,140,"88",2890,17.3,1979,45,"usa"
"amc","concord dl 6","20.2",6,232,"90",3265,18.2,1979,45,"usa"
"dodge","aspen 6","20.6",6,225,"110",3360,16.6,1979,45,"usa"
"chevrolet","caprice classic","17.0",8,305,"130",3840,15.4,1979,45,"usa"
"ford","ltd landau","17.6",8,302,"129",3725,13.4,1979,45,"usa"
"mercury","grand marquis","16.5",8,351,"138",3955,13.2,1979,45,"usa"
"dodge","st. regis","18.2",8,318,"135",3830,15.2,1979,45,"usa"
"buick","estate wagon (sw)","16.9",8,350,"155",4360,14.9,1979,45,"usa"
"ford","country squire (sw)","15.5",8,351,"142",4054,14.3,1979,45,"usa"
"chevrolet","malibu classic (sw)","19.2",8,267,"125",3605,15,1979,45,"usa"
"chrysler","lebaron town @ country (sw)","18.5",8,360,"150",3940,13,1979,45,"usa"
"vw","rabbit custom","31.9",4,89,"71",1925,14,1979,45,"europe"
"maxda","glc deluxe","34.1",4,86,"65",1975,15.2,1979,45,"japan"
"dodge","colt hatchback custom","35.7",4,98,"80",1915,14.4,1979,45,"usa"
"amc","spirit dl","27.4",4,121,"80",2670,15,1979,45,"usa"
"mercedes","benz 300d","25.4",5,183,"77",3530,20.1,1979,45,"europe"
"cadillac","eldorado","23.0",8,350,"125",3900,17.4,1979,45,"usa"
"peugeot","504","27.2",4,141,"71",3190,24.8,1979,45,"europe"
"oldsmobile","cutlass salon brougham","23.9",8,260,"90",3420,22.2,1979,45,"usa"
"plymouth","horizon","34.2",4,105,"70",2200,13.2,1979,45,"usa"
"plymouth","horizon tc3","34.5",4,105,"70",2150,14.9,1979,45,"usa"
"datsun","210","31.8",4,85,"65",2020,19.2,1979,45,"japan"
"fiat","strada custom","37.3",4,91,"69",2130,14.7,1979,45,"europe"
"buick","skylark limited","28.4",4,151,"90",2670,16,1979,45,"usa"
"chevrolet","citation","28.8",6,173,"115",2595,11.3,1979,45,"usa"
"oldsmobile","omega brougham","26.8",6,173,"115",2700,12.9,1979,45,"usa"
"pontiac","phoenix","33.5",4,151,"90",2556,13.2,1979,45,"usa"
"vw","rabbit","41.5",4,98,"76",2144,14.7,1980,44,"europe"
"toyota","corolla tercel","38.1",4,89,"60",1968,18.8,1980,44,"japan"
"chevrolet","chevette","32.1",4,98,"70",2120,15.5,1980,44,"usa"
"datsun","310","37.2",4,86,"65",2019,16.4,1980,44,"japan"
"chevrolet","citation","28.0",4,151,"90",2678,16.5,1980,44,"usa"
"ford","fairmont","26.4",4,140,"88",2870,18.1,1980,44,"usa"
"amc","concord","24.3",4,151,"90",3003,20.1,1980,44,"usa"
"dodge","aspen","19.1",6,225,"90",3381,18.7,1980,44,"usa"
"audi","4000","34.3",4,97,"78",2188,15.8,1980,44,"europe"
"toyota","corona liftback","29.8",4,134,"90",2711,15.5,1980,44,"japan"
"mazda","626","31.3",4,120,"75",2542,17.5,1980,44,"japan"
"datsun","510 hatchback","37.0",4,119,"92",2434,15,1980,44,"japan"
"toyota","corolla","32.2",4,108,"75",2265,15.2,1980,44,"japan"
"mazda","glc","46.6",4,86,"65",2110,17.9,1980,44,"japan"
"dodge","colt","27.9",4,156,"105",2800,14.4,1980,44,"usa"
"datsun","210","40.8",4,85,"65",2110,19.2,1980,44,"japan"
"vw","rabbit c (diesel)","44.3",4,90,"48",2085,21.7,1980,44,"europe"
"vw","dasher (diesel)","43.4",4,90,"48",2335,23.7,1980,44,"europe"
"audi","5000s (diesel)","36.4",5,121,"67",2950,19.9,1980,44,"europe"
"mercedes-benz","240d","30.0",4,146,"67",3250,21.8,1980,44,"europe"
"honda","civic 1500 gl","44.6",4,91,"67",1850,13.8,1980,44,"japan"
"renault","lecar deluxe","40.9",4,85,"ND",1835,17.3,1980,44,"europe"
"subaru","dl","33.8",4,97,"67",2145,18,1980,44,"japan"
"vokswagen","rabbit","29.8",4,89,"62",1845,15.3,1980,44,"europe"
"datsun","280-zx","32.7",6,168,"132",2910,11.4,1980,44,"japan"
"mazda","rx-7 gs","23.7",3,70,"100",2420,12.5,1980,44,"japan"
"triumph","tr7 coupe","35.0",4,122,"88",2500,15.1,1980,44,"europe"
"ford","mustang cobra","23.6",4,140,"ND",2905,14.3,1980,44,"usa"
"honda","accord","32.4",4,107,"72",2290,17,1980,44,"japan"
"plymouth","reliant","27.2",4,135,"84",2490,15.7,1981,43,"usa"
"buick","skylark","26.6",4,151,"84",2635,16.4,1981,43,"usa"
"dodge","aries wagon (sw)","25.8",4,156,"92",2620,14.4,1981,43,"usa"
"chevrolet","citation","23.5",6,173,"110",2725,12.6,1981,43,"usa"
"plymouth","reliant","30.0",4,135,"84",2385,12.9,1981,43,"usa"
"toyota","starlet","39.1",4,79,"58",1755,16.9,1981,43,"japan"
"plymouth","champ","39.0",4,86,"64",1875,16.4,1981,43,"usa"
"honda","civic 1300","35.1",4,81,"60",1760,16.1,1981,43,"japan"
"","subaru","32.3",4,97,"67",2065,17.8,1981,43,"japan"
"datsun","210 mpg","37.0",4,85,"65",1975,19.4,1981,43,"japan"
"toyota","tercel","37.7",4,89,"62",2050,17.3,1981,43,"japan"
"mazda","glc 4","34.1",4,91,"68",1985,16,1981,43,"japan"
"plymouth","horizon 4","34.7",4,105,"63",2215,14.9,1981,43,"usa"
"ford","escort 4w","34.4",4,98,"65",2045,16.2,1981,43,"usa"
"ford","escort 2h","29.9",4,98,"65",2380,20.7,1981,43,"usa"
"volkswagen","jetta","33.0",4,105,"74",2190,14.2,1981,43,"europe"
"renault","18i","34.5",4,100,"ND",2320,15.8,1981,43,"europe"
"honda","prelude","33.7",4,107,"75",2210,14.4,1981,43,"japan"
"toyota","corolla","32.4",4,108,"75",2350,16.8,1981,43,"japan"
"datsun","200sx","32.9",4,119,"100",2615,14.8,1981,43,"japan"
"mazda","626","31.6",4,120,"74",2635,18.3,1981,43,"japan"
"peugeot","505s turbo diesel","28.1",4,141,"80",3230,20.4,1981,43,"europe"
"volvo","diesel","30.7",6,145,"76",3160,19.6,1981,43,"europe"
"toyota","cressida","25.4",6,168,"116",2900,12.6,1981,43,"japan"
"datsun","810 maxima","24.2",6,146,"120",2930,13.8,1981,43,"japan"
"buick","century","22.4",6,231,"110",3415,15.8,1981,43,"usa"
"oldsmobile","cutlass ls","26.6",8,350,"105",3725,19,1981,43,"usa"
"ford","granada gl","20.2",6,200,"88",3060,17.1,1981,43,"usa"
"chrysler","lebaron salon","17.6",6,225,"85",3465,16.6,1981,43,"usa"
"chevrolet","cavalier","28.0",4,112,"88",2605,19.6,1982,42,"usa"
"chevrolet","cavalier wagon","27.0",4,112,"88",2640,18.6,1982,42,"usa"
"chevrolet","cavalier 2-door","34.0",4,112,"88",2395,18,1982,42,"usa"
"pontiac","j2000 se hatchback","31.0",4,112,"85",2575,16.2,1982,42,"usa"
"dodge","aries se","29.0",4,135,"84",2525,16,1982,42,"usa"
"pontiac","phoenix","27.0",4,151,"90",2735,18,1982,42,"usa"
"ford","fairmont futura","24.0",4,140,"92",2865,16.4,1982,42,"usa"
